0.04741,-0.021955,0.068954
-0.071473,-0.082802,-0.063182
-0.20232,-0.17127,-0.22454
-0.35417,-0.28768,-0.40443
-0.52053,-0.39603,-0.58829
-0.65443,-0.5457,-0.70552
-0.7823,-0.73405,-0.8001
-0.90533,-0.89136,-0.85212
-0.96612,-0.9833,-0.90208
-1,-1,-0.87661
-0.94739,-0.96525,-0.81806
-0.81781,-0.88317,-0.71528
-0.68277,-0.73537,-0.59571
-0.50746,-0.51075,-0.44368
-0.33468,-0.24091,-0.26381
-0.16021,-0.027453,-0.1075
0.019985,0.1571,0.017265
0.10043,0.32756,0.084981
0.17265,0.47554,0.14712
0.24532,0.58971,0.20131
0.32203,0.61161,0.26127
0.38215,0.67603,0.32064
0.38868,0.69262,0.38846
0.42241,0.7064,0.43753
0.47742,0.71129,0.44175
0.4983,0.71647,0.37717
0.51424,0.77903,0.30039
0.50617,0.81001,0.22526
0.53257,0.85554,0.21373
0.54706,0.86772,0.25281
0.53205,0.88127,0.36834
0.51629,0.89781,0.50745
0.46199,0.87512,0.65872
0.42321,0.79972,0.8193
0.37992,0.72235,0.92867
0.33252,0.66655,0.97515
0.30885,0.61653,0.89304
0.28537,0.51074,0.7833
0.27799,0.37527,0.64814
0.31,0.28404,0.53515
0.30364,0.22507,0.44111
0.30205,0.21218,0.35045
0.27767,0.22882,0.32348
0.26252,0.27905,0.32407
0.23764,0.30503,0.39079
0.18869,0.32433,0.45444
0.15938,0.30519,0.52409
0.13282,0.25951,0.57311
0.14331,0.17044,0.5542
0.18336,0.077795,0.48983
0.23145,0.040614,0.39327
0.24882,-0.00011713,0.32816
0.25452,0.0093331,0.25684
0.26099,-0.013625,0.21794
0.23062,-0.022011,0.25267
0.16335,-0.029441,0.35334
0.10055,-0.019572,0.45656
0.056881,0.0068703,0.50063
0.050181,-0.013871,0.51922
0.071131,0.0060507,0.50543
0.10254,-0.0054036,0.46317
0.1613,-0.0017763,0.42133
0.18405,-0.017599,0.42461
0.20673,-0.016279,0.47636
0.21733,-0.014483,0.506
0.21749,-0.031396,0.50062
0.22125,-0.023668,0.47928
0.19301,-0.056834,0.4576
0.18824,-0.10699,0.4115
0.20927,-0.17591,0.31913
0.20889,-0.18717,0.2175
0.17838,-0.18172,0.14866
